periode_data,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,categori_encoded
201801,2018-01-08,DKI4 (Lubang Buaya),62.0,32.0,16.0,48.0,6.0,62.0,PM10,SEDANG,2
201801,2018-01-09,DKI4 (Lubang Buaya),45.0,32.0,11.0,37.0,7.0,45.0,PM10,BAIK,0
201801,2018-01-10,DKI4 (Lubang Buaya),36.0,34.0,12.0,55.0,9.0,55.0,O3,SEDANG,2
201801,2018-01-11,DKI4 (Lubang Buaya),37.0,38.0,9.0,43.0,7.0,43.0,O3,BAIK,0
201801,2018-01-12,DKI4 (Lubang Buaya),37.0,33.0,13.0,47.0,9.0,47.0,O3,BAIK,0
201801,2018-01-13,DKI4 (Lubang Buaya),51.0,19.0,13.0,70.0,8.0,51.0,PM10,SEDANG,2
201801,2018-01-14,DKI4 (Lubang Buaya),26.0,72.0,7.0,29.0,5.0,72.0,SO2,SEDANG,2
201801,2018-01-15,DKI4 (Lubang Buaya),22.0,72.0,11.0,70.0,7.0,72.0,SO2,SEDANG,2
201801,2018-01-16,DKI4 (Lubang Buaya),18.0,70.0,7.0,70.0,5.0,70.0,SO2,SEDANG,2
201801,2018-01-17,DKI4 (Lubang Buaya),35.0,52.0,12.0,28.0,11.0,52.0,SO2,SEDANG,2
201801,2018-01-18,DKI4 (Lubang Buaya),38.0,52.0,19.0,70.0,10.0,52.0,SO2,SEDANG,2
201801,2018-01-19,DKI4 (Lubang Buaya),36.0,51.0,29.0,24.0,13.0,51.0,SO2,SEDANG,2
201801,2018-01-20,DKI4 (Lubang Buaya),24.0,51.0,7.0,29.0,5.0,51.0,SO2,SEDANG,2
201801,2018-01-21,DKI4 (Lubang Buaya),21.0,51.0,6.0,31.0,4.0,51.0,SO2,SEDANG,2
201801,2018-01-22,DKI4 (Lubang Buaya),20.0,52.0,7.0,25.0,3.0,52.0,SO2,SEDANG,2
201801,2018-01-23,DKI4 (Lubang Buaya),22.0,52.0,7.0,45.0,5.0,52.0,SO2,SEDANG,2
